frame.time,ip.src,ip.dst,tcp.srcport,tcp.dstport,ip.proto,frame.len
"Jun 16, 2026 14:07:00.649943933 KST",10.94.40.36,10.93.168.39,665,41884,6,138
"Jun 16, 2026 14:07:00.650003566 KST",10.94.40.36,10.93.168.39,665,41884,6,338
"Jun 16, 2026 14:07:00.657031912 KST",10.95.113.39,10.94.40.36,665,43593,6,66
"Jun 16, 2026 14:07:00.657780302 KST",10.94.40.36,10.95.113.39,43593,665,6,126
"Jun 16, 2026 14:07:00.659582717 KST",10.94.40.36,10.93.124.39,665,44963,6,126
"Jun 16, 2026 14:07:00.660092703 KST",10.76.156.39,10.94.40.36,52902,665,6,66
"Jun 16, 2026 14:07:00.660646944 KST",10.76.156.39,10.94.40.36,52902,665,6,66
"Jun 16, 2026 14:07:00.661159209 KST",10.94.40.36,10.76.156.39,665,52902,6,138
"Jun 16, 2026 14:07:00.661193562 KST",10.94.40.36,10.76.156.39,665,52902,6,287
"Jun 16, 2026 14:07:00.664597718 KST",10.95.113.39,10.94.40.36,665,43593,6,66
"Jun 16, 2026 14:07:00.665699231 KST",10.94.40.36,10.95.113.39,43593,665,6,126
"Jun 16, 2026 14:07:00.665763131 KST",10.94.40.36,10.95.113.39,43593,665,6,194
"Jun 16, 2026 14:07:00.667195206 KST",10.94.40.36,10.93.124.39,665,44963,6,146
"Jun 16, 2026 14:07:00.685787216 KST",10.93.168.39,10.94.40.36,41884,665,6,66
"Jun 16, 2026 14:07:00.686353444 KST",10.93.168.39,10.94.40.36,41884,665,6,66
"Jun 16, 2026 14:07:00.693034867 KST",10.93.124.39,10.94.40.36,44963,665,6,66
"Jun 16, 2026 14:07:00.693211796 KST",10.93.124.39,10.94.40.36,44963,665,6,126
"Jun 16, 2026 14:07:00.693393955 KST",10.93.124.39,10.94.40.36,44963,665,6,126
"Jun 16, 2026 14:07:00.693421931 KST",10.94.40.36,10.93.124.39,665,44963,6,66
"Jun 16, 2026 14:07:00.693675452 KST",10.94.40.36,10.93.124.39,665,44963,6,126
"Jun 16, 2026 14:07:00.696546550 KST",10.99.110.39,10.94.40.36,54237,665,6,66
"Jun 16, 2026 14:07:00.697412187 KST",10.94.40.36,10.99.110.39,665,54237,6,126
"Jun 16, 2026 14:07:00.701437552 KST",10.93.124.39,10.94.40.36,44963,665,6,138
"Jun 16, 2026 14:07:00.701985614 KST",10.94.40.36,10.93.124.39,665,44963,6,126
"Jun 16, 2026 14:07:00.702065944 KST",10.94.40.36,10.93.124.39,665,44963,6,194
"Jun 16, 2026 14:07:00.704507176 KST",10.99.110.39,10.94.40.36,54237,665,6,66
"Jun 16, 2026 14:07:00.705488978 KST",10.94.40.36,10.99.110.39,665,54237,6,126
"Jun 16, 2026 14:07:00.705573949 KST",10.94.40.36,10.99.110.39,665,54237,6,194
"Jun 16, 2026 14:07:00.735924773 KST",10.93.124.39,10.94.40.36,44963,665,6,66
"Jun 16, 2026 14:07:00.736586857 KST",10.93.124.39,10.94.40.36,44963,665,6,157
"Jun 16, 2026 14:07:00.737083346 KST",10.94.40.36,10.93.124.39,665,44963,6,126
"Jun 16, 2026 14:07:00.737404389 KST",10.94.40.36,10.93.124.39,665,44963,6,325
"Jun 16, 2026 14:07:00.770866738 KST",10.93.124.39,10.94.40.36,44963,665,6,66
"Jun 16, 2026 14:07:00.772098706 KST",10.93.124.39,10.94.40.36,44963,665,6,1377
"Jun 16, 2026 14:07:00.777259316 KST",10.94.40.36,10.93.124.39,665,44963,6,293
